,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4,4D,4,5,3N,4D,36
1,Back,524,210,409,364,414,360,508,147,421,3357
2,Regular,509,170,394,348,392,338,494,132,406,3183
3,Front,491,170,376,334,370,325,480,118,389,3053
4,Hdcp,4,16,8,12,2,14,10,18,6,­
