,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,4,4,5,4D,3N,4,4,36
1,Black,510,207,390,419,538,438,190,355,462,3509
2,Blue,489,187,356,385,502,413,169,325,431,3257
3,White,462,164,319,359,465,387,141,301,398,2996
4,Green,432,140,284,327,414,358,124,283,374,2736
5,Red,432,114,284,327,414,307,90,283,374,2625
6,Hdcp,4,16,10,14,2,8,18,12,6,­
