,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Green Meadows,Yellow / Men,M,32,31.7,42.1,112,31.7  /  112,/
,Red / Men,M,32,31.4,41.3,107,31.4  /  107,/
,Yellow / Women,F,32,33.8,46.5,108,33.8  /  108,/
,Red / Women,F,32,32.9,45.5,107,32.9  /  107,/
Nitra Lužianky,Black / Men,M,72,73.0,97.8,134,36.8  /  135,36.2  /  132
,White / Men,M,72,72.3,96.7,131,36.4  /  131,35.9  /  131
,Yellow / Men,M,72,69.7,93.4,128,34.9  /  128,34.8  /  127
,Blue / Men,M,72,68.7,91.8,125,34.5  /  124,34.2  /  125
,Red / Men,M,72,66.3,87.7,115,33.2  /  116,33.1  /  114
,Orange / Men,M,72,65.4,86.4,113,32.8  /  115,32.6  /  111
,Yellow / Women,F,72,75.7,107.2,134,38.1  /  137,37.6  /  130
,Blue / Women,F,72,74.4,105.4,132,37.5  /  133,36.9  /  130
,Red / Women,F,72,70.6,100.7,128,35.3  /  128,35.3  /  127
,Orange / Women,F,72,70.0,99.3,125,35.0  /  125,35.0  /  124
